"Date","Open","High","Low","Close","Volume"
"05/05/2025","203.1","204.1","193.25","198.53","275,784,660"
"04/28/2025","210","214.56","202.16","205.35","286,233,430"
"04/21/2025","193.265","209.75","189.8112","209.28","238,181,330"
"04/14/2025","211.44","212.94","192.37","196.98","264,593,870"
"04/07/2025","177.2","200.61","169.2101","198.15","675,037,620"
"03/31/2025","217.005","225.62","187.34","188.38","366,947,860"
"03/24/2025","221","225.02","217.68","217.9","190,239,110"
"03/17/2025","213.31","218.84","209.97","218.27","287,881,970"
"03/10/2025","235.54","236.16","208.42","213.49","332,231,990"
"03/03/2025","241.79","244.0272","229.23","239.07","239,653,680"
"02/24/2025","244.925","250","230.2","241.84","241,760,230"
"02/17/2025","244.15","248.69","241.84","245.55","166,541,050"
"02/10/2025","229.57","245.55","227.2","244.6","226,587,580"
"02/03/2025","229.99","234","225.7","227.63","227,428,160"
"01/27/2025","224.02","247.19","223.98","236","372,790,470"
"01/20/2025","224","227.03","219.38","222.78","277,129,600"
"01/13/2025","233.53","238.96","228.03","229.98","269,145,340"
"01/06/2025","244.31","247.33","233","236.85","185,241,330"
"12/30/2024","252.23","253.5","241.8201","243.36","171,023,100"
"12/23/2024","254.77","260.1","253.06","255.59","133,711,780"
"12/16/2024","247.99","255","245.69","254.49","368,202,770"
"12/09/2024","241.83","250.8","241.75","248.13","192,702,670"
"12/02/2024","237.27","244.63","237.16","242.84","208,286,560"
"11/25/2024","231.46","237.81","229.74","237.33","198,118,840"
"11/18/2024","225.25","230.7199","225.17","229.87","196,343,940"
"11/11/2024","225","228.87","221.5","225","223,817,760"
"11/04/2024","220.99","228.66","219.71","226.96","208,083,440"
"10/28/2024","233.32","234.73","220.27","222.91","248,222,120"
"10/21/2024","234.45","236.85","227.76","231.41","197,299,830"
"10/14/2024","228.7","237.49","228.6","235","218,140,980"
"10/07/2024","224.5","229.75","221.33","227.55","164,894,860"
"09/30/2024","230.04","233","223.02","226.8","222,348,310"
"09/23/2024","227.34","229.52","224.02","227.79","210,673,490"
"09/16/2024","216.54","233.09","213.92","228.2","550,232,920"
"09/09/2024","220.82","224.04","216.71","222.5","237,622,920"
"09/02/2024","228.55","229","217.48","220.82","179,069,180"
"08/26/2024","226.76","232.92","223.8905","229","209,486,010"
"08/19/2024","225.72","228.34","223.04","226.84","188,124,890"
"08/12/2024","216.07","226.8271","215.6","226.05","214,898,240"
"08/05/2024","199.09","216.78","196","216.24","342,088,310"
"07/29/2024","216.96","225.6","215.75","219.86","296,061,480"
"07/22/2024","227.01","227.78","214.62","217.96","242,932,230"
"07/15/2024","236.48","237.23","222.27","224.31","278,397,450"
"07/08/2024","227.09","233.08","223.25","230.54","287,640,520"
"07/01/2024","212.09","226.45","211.92","226.34","216,231,320"
"06/24/2024","207.72","216.07","206.59","210.62","335,969,500"
"06/17/2024","213.37","218.95","207.11","207.49","506,265,400"
"06/10/2024","196.9","220.2","192.15","212.49","635,755,160"
"06/03/2024","192.9","196.94","192.52","196.89","245,994,440"
"05/27/2024","191.51","193","189.1","192.25","230,454,290"
"05/20/2024","189.325","192.8231","186.625","189.98","208,652,130"
